,pairs
312,FXSUSDT
313,VOXELUSDT
314,HIGHUSDT
315,CVXUSDT
316,PEOPLEUSDT
317,OOKIUSDT
318,SPELLUSDT
319,USTUSDT
320,JOEUSDT
321,ACHUSDT
322,IMXUSDT
323,GLMRUSDT
324,LOKAUSDT
325,SCRTUSDT
326,API3USDT
327,BTTCUSDT
328,ACAUSDT
329,ANCUSDT
330,XNOUSDT
331,WOOUSDT
332,ALPINEUSDT
333,TUSDT
334,ASTRUSDT
335,GMTUSDT
336,KDAUSDT
337,APEUSDT
338,BSWUSDT
339,BIFIUSDT
340,MULTIUSDT
341,STEEMUSDT
342,MOBUSDT
343,NEXOUSDT
344,REIUSDT
345,GALUSDT
346,LDOUSDT
347,EPXUSDT
348,OPUSDT
349,LEVERUSDT
350,STGUSDT
351,LUNCUSDT
352,GMXUSDT
353,NEBLUSDT
